Record Key,Taxon Key,Scientific Name,Common Name,Taxon Group,grid,location,Sex/Stage,count,survey,date,Sighting Year,Designation
DSS000120001AEJT,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ6389,New Cut Canal and Paddington Meadows,None,2,Not Provided,13/07/2018,2018,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001AASX,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ84267978,Land to the West of Alderley Road,None,1,Pass (Bat),05/10/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS0001200018TQE,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ92928257,"Land off Dickens Lane, Poynton",None,Present,Not Provided,04/05/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS0001200018TPP,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ92828258,"Land off Dickens Lane, Poynton",None,Present,Not Provided,04/05/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS00012000156UM,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ38297321,"Dunkirk house and land at Backford Cross, Ellesmere Port",None,Present,Aural Bat Detector,08/07/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS0001200018TPO,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ92638265,"Land off Dickens Lane, Poynton",None,Present,Not Provided,04/05/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP7S,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ61777597,Little Leigh - CP,Adult Female,2,trapped (other),27/04/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FQ4P,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75578178,Tatton - CP,None,Present,Aural Bat Detector,18/07/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP5R,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65547663,Anderton with Marbury - CP,Juvenile Male,1,trapped (other),24/09/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP0K,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ74058408,Rostherne - CP,None,Present,Aural Bat Detector,26/08/2015,2015,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FQ4F,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ74998018,Tatton - CP,None,Present,Aural Bat Detector,16/04/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP5J,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75677991,Tatton - CP,Adult Male,1,trapped (other),23/08/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP2X,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65547662,Anderton with Marbury - CP,Adult Male,1,trapped (other),24/09/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FOYK,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ76567991,Tatton - CP,Adult Male,1,Trapped - net,05/10/2015,2015,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP4F,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ756797,Knutsford - CP,Adult Male,1,Trapped - harp trap,01/05/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FPCG,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ61777623,Little Leigh - CP,Adult Male,2,Trapped - net,24/07/2015,2015,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FPBP,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ61777623,Little Leigh - CP,Juvenile Female,1,Trapped - net,04/10/2015,2015,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
